,process_id,media_id,row_type,measurement_id,time,value,stdv,source,unit
0,cultivation1,,measurement,L-Alanine,0.0,0.35608143,0.029574864,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/amino_acid_data.csv.gz,g/L
1,cultivation1,,measurement,L-Glutamate,0.0,0.7028433,0.038559414,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/amino_acid_data.csv.gz,g/L
2,cultivation1,,measurement,L-Alanine,24.0,0.29031017,0.029574864,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/amino_acid_data.csv.gz,g/L
3,cultivation1,,measurement,L-Glutamate,24.0,0.57933897,0.038559414,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/amino_acid_data.csv.gz,g/L
4,cultivation1,,measurement,L-Alanine,48.0,0.4707139,0.029574864,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/amino_acid_data.csv.gz,g/L
5,cultivation1,,measurement,L-Glutamate,48.0,0.8584391,0.038559414,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/amino_acid_data.csv.gz,g/L
6,cultivation1,,measurement,L-Alanine,72.0,0.5398567,0.029574864,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/amino_acid_data.csv.gz,g/L
7,cultivation1,,measurement,L-Glutamate,72.0,0.9533093,0.038559414,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/amino_acid_data.csv.gz,g/L
8,cultivation1,,measurement,L-Alanine,96.0,0.315447,0.029574864,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/amino_acid_data.csv.gz,g/L
9,cultivation1,,measurement,L-Glutamate,96.0,0.56523335,0.038559414,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/amino_acid_data.csv.gz,g/L
10,cultivation1,,measurement,L-Alanine,120.0,0.12767135,0.029574864,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/amino_acid_data.csv.gz,g/L
11,cultivation1,,measurement,L-Glutamate,120.0,0.23304033,0.038559414,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/amino_acid_data.csv.gz,g/L
