,process_id,media_id,row_type,measurement_id,time,value,stdv,source,unit
0,cultivation1,feed2,feed,feed2,24.0,0.074,0.0074,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
1,cultivation1,feed1,feed,feed1,48.0,0.075,0.0075,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
2,cultivation1,feed2,feed,feed2,48.0,0.074,0.0074,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
3,cultivation1,feed2,feed,feed2,144.0,0.074,0.0074,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
4,cultivation1,feed2,feed,feed2,168.0,0.074,0.0074,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
5,cultivation1,feed2,feed,feed2,192.0,0.074,0.0074,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
6,cultivation1,feed1,feed,feed1,216.0,0.075,0.0075,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
7,cultivation1,feed2,feed,feed2,240.0,0.074,0.0074,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
8,cultivation10,feed2,feed,feed2,24.0,0.067,0.0067,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
9,cultivation10,feed2,feed,feed2,48.0,0.067,0.0067,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
10,cultivation10,feed2,feed,feed2,72.0,0.067,0.0067,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
11,cultivation10,feed2,feed,feed2,96.0,0.067,0.0067,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
12,cultivation10,feed1,feed,feed1,120.0,0.042,0.0042,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
13,cultivation10,feed2,feed,feed2,144.0,0.067,0.0067,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
14,cultivation10,feed1,feed,feed1,192.0,0.042,0.0042,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
15,cultivation10,feed2,feed,feed2,240.0,0.067,0.0067,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
16,cultivation2,feed2,feed,feed2,48.0,0.074,0.0074,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
17,cultivation2,feed1,feed,feed1,72.0,0.061,0.0061,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
18,cultivation2,feed2,feed,feed2,96.0,0.074,0.0074,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
19,cultivation2,feed1,feed,feed1,120.0,0.061,0.0061,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
20,cultivation2,feed2,feed,feed2,120.0,0.074,0.0074,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
21,cultivation2,feed1,feed,feed1,144.0,0.061,0.0061,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
22,cultivation2,feed2,feed,feed2,144.0,0.074,0.0074,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
23,cultivation2,feed1,feed,feed1,168.0,0.061,0.0061,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
24,cultivation2,feed2,feed,feed2,168.0,0.074,0.0074,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
25,cultivation2,feed2,feed,feed2,240.0,0.074,0.0074,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
26,cultivation3,feed1,feed,feed1,48.0,0.052,0.0052,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
27,cultivation3,feed2,feed,feed2,48.0,0.078,0.0078,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
28,cultivation3,feed1,feed,feed1,72.0,0.052,0.0052,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
29,cultivation3,feed2,feed,feed2,72.0,0.078,0.0078,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
30,cultivation3,feed2,feed,feed2,96.0,0.078,0.0078,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
31,cultivation3,feed2,feed,feed2,120.0,0.078,0.0078,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
32,cultivation3,feed1,feed,feed1,144.0,0.052,0.0052,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
33,cultivation3,feed2,feed,feed2,168.0,0.078,0.0078,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
34,cultivation3,feed2,feed,feed2,192.0,0.078,0.0078,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/feed_volume_data.csv.gz,L
