,process_id,media_id,row_type,measurement_id,time,value,stdv,source,unit
0,cultivation1,,measurement,L-Lactate,0.0,0.0,0.13131218,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
1,cultivation1,,measurement,Product,0.0,0.0,0.17747279,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
2,cultivation1,,measurement,beta-D-Glucose,0.0,4.566028,0.21692874,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
3,cultivation1,,measurement,L-Lactate,24.0,0.13996184,0.13131218,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
4,cultivation1,,measurement,Product,24.0,0.11101129,0.17747279,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
5,cultivation1,,measurement,beta-D-Glucose,24.0,4.2579303,0.21692874,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
6,cultivation1,,measurement,L-Lactate,48.0,0.31126428,0.13131218,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
7,cultivation1,,measurement,Product,48.0,0.28727517,0.17747279,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
8,cultivation1,,measurement,beta-D-Glucose,48.0,3.7033803,0.21692874,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
9,cultivation1,,measurement,L-Lactate,72.0,0.5318111,0.13131218,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
10,cultivation1,,measurement,Product,72.0,0.54625386,0.17747279,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
11,cultivation1,,measurement,beta-D-Glucose,72.0,5.8363132,0.21692874,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
12,cultivation1,,measurement,L-Lactate,96.0,0.84974116,0.13131218,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
13,cultivation1,,measurement,Product,96.0,0.89594555,0.17747279,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
14,cultivation1,,measurement,beta-D-Glucose,96.0,4.909565,0.21692874,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
15,cultivation1,,measurement,L-Lactate,120.0,1.2161983,0.13131218,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
16,cultivation1,,measurement,Product,120.0,1.2597939,0.17747279,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
17,cultivation1,,measurement,beta-D-Glucose,120.0,3.724682,0.21692874,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
18,cultivation1,,measurement,L-Lactate,144.0,1.5643132,0.13131218,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
19,cultivation1,,measurement,Product,144.0,1.568039,0.17747279,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
20,cultivation1,,measurement,beta-D-Glucose,144.0,2.418923,0.21692874,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
21,cultivation1,,measurement,L-Lactate,168.0,1.7654964,0.13131218,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
22,cultivation1,,measurement,Product,168.0,1.9413193,0.17747279,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
23,cultivation1,,measurement,beta-D-Glucose,168.0,1.1839677,0.21692874,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
24,cultivation1,,measurement,L-Lactate,192.0,1.816328,0.13131218,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
25,cultivation1,,measurement,Product,192.0,2.276904,0.17747279,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
26,cultivation1,,measurement,beta-D-Glucose,192.0,0.40108818,0.21692874,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
27,cultivation1,,measurement,L-Lactate,216.0,1.7426456,0.13131218,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
28,cultivation1,,measurement,Product,216.0,2.514729,0.17747279,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
29,cultivation1,,measurement,beta-D-Glucose,216.0,0.09842972,0.21692874,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
30,cultivation1,,measurement,L-Lactate,240.0,2.0226185,0.13131218,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
31,cultivation1,,measurement,Product,240.0,2.7699802,0.17747279,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
32,cultivation1,,measurement,beta-D-Glucose,240.0,1.1247407,0.21692874,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
33,cultivation1,,measurement,L-Lactate,264.0,2.0462832,0.13131218,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
34,cultivation1,,measurement,Product,264.0,3.0612838,0.17747279,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
35,cultivation1,,measurement,beta-D-Glucose,264.0,0.25920328,0.21692874,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
36,cultivation1,,measurement,L-Lactate,288.0,1.9827381,0.13131218,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
37,cultivation1,,measurement,Product,288.0,3.1233149,0.17747279,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
38,cultivation1,,measurement,beta-D-Glucose,288.0,0.044209853,0.21692874,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
39,cultivation1,,measurement,L-Lactate,312.0,1.8927025,0.13131218,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
40,cultivation1,,measurement,Product,312.0,3.1318269,0.17747279,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
41,cultivation1,,measurement,beta-D-Glucose,312.0,0.008560542,0.21692874,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
42,cultivation1,,measurement,L-Lactate,336.0,1.8147235,0.13131218,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
43,cultivation1,,measurement,Product,336.0,3.133241,0.17747279,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
44,cultivation1,,measurement,beta-D-Glucose,336.0,0.002289386,0.21692874,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
45,cultivation10,,measurement,L-Lactate,0.0,0.0,0.12905332,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
46,cultivation10,,measurement,Product,0.0,0.0,0.1894098,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
47,cultivation10,,measurement,beta-D-Glucose,0.0,6.620389,0.24146181,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
48,cultivation10,,measurement,L-Lactate,24.0,0.10882299,0.12905332,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
49,cultivation10,,measurement,Product,24.0,0.10146055,0.1894098,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
50,cultivation10,,measurement,beta-D-Glucose,24.0,6.3534083,0.24146181,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
51,cultivation10,,measurement,L-Lactate,48.0,0.25738406,0.12905332,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
52,cultivation10,,measurement,Product,48.0,0.26353148,0.1894098,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
53,cultivation10,,measurement,beta-D-Glucose,48.0,5.7664957,0.24146181,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
54,cultivation10,,measurement,L-Lactate,72.0,0.4624025,0.12905332,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
55,cultivation10,,measurement,Product,72.0,0.51490325,0.1894098,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
56,cultivation10,,measurement,beta-D-Glucose,72.0,5.0321093,0.24146181,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
57,cultivation10,,measurement,L-Lactate,96.0,0.7351207,0.12905332,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
58,cultivation10,,measurement,Product,96.0,0.8881627,0.1894098,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
59,cultivation10,,measurement,beta-D-Glucose,96.0,4.088198,0.24146181,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
60,cultivation10,,measurement,L-Lactate,120.0,1.0616311,0.12905332,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
61,cultivation10,,measurement,Product,120.0,1.3958148,0.1894098,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
62,cultivation10,,measurement,beta-D-Glucose,120.0,2.9093497,0.24146181,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
63,cultivation10,,measurement,L-Lactate,144.0,1.4810638,0.12905332,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
64,cultivation10,,measurement,Product,144.0,1.9178888,0.1894098,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
65,cultivation10,,measurement,beta-D-Glucose,144.0,2.9498441,0.24146181,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
66,cultivation10,,measurement,L-Lactate,168.0,1.7838366,0.12905332,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
67,cultivation10,,measurement,Product,168.0,2.4105806,0.1894098,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
68,cultivation10,,measurement,beta-D-Glucose,168.0,1.3646863,0.24146181,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
69,cultivation10,,measurement,L-Lactate,192.0,1.9217441,0.12905332,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
70,cultivation10,,measurement,Product,192.0,2.652181,0.1894098,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
71,cultivation10,,measurement,beta-D-Glucose,192.0,0.4029715,0.24146181,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
72,cultivation10,,measurement,L-Lactate,216.0,2.1063604,0.12905332,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
73,cultivation10,,measurement,Product,216.0,2.8636024,0.1894098,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
74,cultivation10,,measurement,beta-D-Glucose,216.0,0.5975454,0.24146181,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
75,cultivation10,,measurement,L-Lactate,240.0,2.0966392,0.12905332,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
76,cultivation10,,measurement,Product,240.0,2.9629397,0.1894098,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
77,cultivation10,,measurement,beta-D-Glucose,240.0,0.11067404,0.24146181,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
78,cultivation10,,measurement,L-Lactate,264.0,1.9522406,0.12905332,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
79,cultivation10,,measurement,Product,264.0,3.0959256,0.1894098,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
80,cultivation10,,measurement,beta-D-Glucose,264.0,0.01806617,0.24146181,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
81,cultivation10,,measurement,L-Lactate,288.0,1.8639169,0.12905332,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
82,cultivation10,,measurement,Product,288.0,3.1135237,0.1894098,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
83,cultivation10,,measurement,beta-D-Glucose,288.0,0.0038929791,0.24146181,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
84,cultivation10,,measurement,L-Lactate,312.0,1.7922274,0.12905332,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
85,cultivation10,,measurement,Product,312.0,3.115316,0.1894098,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/other_compounds_data.csv.gz,g/L
