,process_id,media_id,row_type,measurement_id,time,value,stdv,source,unit
0,cultivation1,,sample,sampling_volume,24.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
1,cultivation1,,sample,sampling_volume,48.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
2,cultivation1,,sample,sampling_volume,72.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
3,cultivation1,,sample,sampling_volume,96.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
4,cultivation1,,sample,sampling_volume,120.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
5,cultivation1,,sample,sampling_volume,144.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
6,cultivation1,,sample,sampling_volume,168.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
7,cultivation1,,sample,sampling_volume,192.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
8,cultivation1,,sample,sampling_volume,216.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
9,cultivation1,,sample,sampling_volume,240.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
10,cultivation1,,sample,sampling_volume,264.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
11,cultivation1,,sample,sampling_volume,288.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
12,cultivation1,,sample,sampling_volume,312.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
13,cultivation1,,sample,sampling_volume,336.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
14,cultivation10,,sample,sampling_volume,24.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
15,cultivation10,,sample,sampling_volume,48.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
16,cultivation10,,sample,sampling_volume,72.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
17,cultivation10,,sample,sampling_volume,96.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
18,cultivation10,,sample,sampling_volume,120.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
19,cultivation10,,sample,sampling_volume,144.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
20,cultivation10,,sample,sampling_volume,168.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
21,cultivation10,,sample,sampling_volume,192.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
22,cultivation10,,sample,sampling_volume,216.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
23,cultivation10,,sample,sampling_volume,240.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
24,cultivation10,,sample,sampling_volume,264.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
25,cultivation10,,sample,sampling_volume,288.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
26,cultivation10,,sample,sampling_volume,312.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
27,cultivation10,,sample,sampling_volume,336.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
28,cultivation2,,sample,sampling_volume,24.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
29,cultivation2,,sample,sampling_volume,48.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
30,cultivation2,,sample,sampling_volume,72.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
31,cultivation2,,sample,sampling_volume,96.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
32,cultivation2,,sample,sampling_volume,120.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
33,cultivation2,,sample,sampling_volume,144.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
34,cultivation2,,sample,sampling_volume,168.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
35,cultivation2,,sample,sampling_volume,192.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
36,cultivation2,,sample,sampling_volume,216.0,0.0002,2e-05,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/sample_volume_data.csv.gz,L
